ejecucion,repeticion,poblacion,tasa_mutacion,elitismo,max_generaciones,semilla,mejor_individuo,penalizacion,generacion_mejor,generaciones_ejecutadas,tiempo_segundos,detalles_penalizacion,exito,valida_restricciones_duras
1,1,100,0.1,0,500,2026,"[[2, 3], [0, 0], [1, 1], [1, 4], [0, 3], [2, 1], [3, 0], [3, 2]]",0,13,13,1.5900262000068324,"{""sobrecupo"": 0, ""computadores"": 0, ""software"": 0, ""recursos"": 0, ""choques"": 0, ""bloqueo_curso"": 0, ""bloqueo_sala"": 0, ""equilibrio"": 0}",True,True
2,2,100,0.1,0,500,2027,"[[0, 2], [0, 1], [1, 3], [1, 4], [2, 2], [2, 3], [3, 0], [3, 4]]",0,29,29,1.4413015000027372,"{""sobrecupo"": 0, ""computadores"": 0, ""software"": 0, ""recursos"": 0, ""choques"": 0, ""bloqueo_curso"": 0, ""bloqueo_sala"": 0, ""equilibrio"": 0}",True,True
3,3,100,0.1,0,500,2028,"[[0, 0], [0, 3], [1, 4], [1, 1], [2, 1], [2, 2], [3, 0], [3, 3]]",0,12,12,0.5797938000032445,"{""sobrecupo"": 0, ""computadores"": 0, ""software"": 0, ""recursos"": 0, ""choques"": 0, ""bloqueo_curso"": 0, ""bloqueo_sala"": 0, ""equilibrio"": 0}",True,True
4,4,100,0.1,0,500,2029,"[[2, 1], [0, 2], [1, 3], [1, 4], [0, 1], [2, 2], [3, 3], [3, 4]]",0,22,22,1.0241419000012684,"{""sobrecupo"": 0, ""computadores"": 0, ""software"": 0, ""recursos"": 0, ""choques"": 0, ""bloqueo_curso"": 0, ""bloqueo_sala"": 0, ""equilibrio"": 0}",True,True
5,5,100,0.1,0,500,2030,"[[0, 2], [0, 0], [1, 4], [1, 1], [2, 4], [2, 3], [3, 0], [3, 2]]",0,13,13,0.556533800001489,"{""sobrecupo"": 0, ""computadores"": 0, ""software"": 0, ""recursos"": 0, ""choques"": 0, ""bloqueo_curso"": 0, ""bloqueo_sala"": 0, ""equilibrio"": 0}",True,True
6,6,100,0.1,0,500,2031,"[[0, 2], [2, 3], [1, 1], [1, 4], [0, 3], [2, 1], [3, 4], [3, 2]]",0,20,20,0.9187888999949791,"{""sobrecupo"": 0, ""computadores"": 0, ""software"": 0, ""recursos"": 0, ""choques"": 0, ""bloqueo_curso"": 0, ""bloqueo_sala"": 0, ""equilibrio"": 0}",True,True
7,7,100,0.1,0,500,2032,"[[0, 2], [0, 1], [1, 0], [1, 1], [2, 3], [2, 2], [3, 0], [3, 3]]",0,23,23,0.8494668999992427,"{""sobrecupo"": 0, ""computadores"": 0, ""software"": 0, ""recursos"": 0, ""choques"": 0, ""bloqueo_curso"": 0, ""bloqueo_sala"": 0, ""equilibrio"": 0}",True,True
8,8,100,0.1,0,500,2033,"[[0, 1], [2, 2], [1, 4], [1, 1], [0, 0], [2, 3], [3, 2], [3, 4]]",0,11,11,0.35770720000436995,"{""sobrecupo"": 0, ""computadores"": 0, ""software"": 0, ""recursos"": 0, ""choques"": 0, ""bloqueo_curso"": 0, ""bloqueo_sala"": 0, ""equilibrio"": 0}",True,True
9,9,100,0.1,0,500,2034,"[[0, 0], [0, 2], [1, 1], [1, 3], [2, 4], [2, 1], [3, 2], [3, 4]]",0,9,9,0.41811890000099083,"{""sobrecupo"": 0, ""computadores"": 0, ""software"": 0, ""recursos"": 0, ""choques"": 0, ""bloqueo_curso"": 0, ""bloqueo_sala"": 0, ""equilibrio"": 0}",True,True
10,10,100,0.1,0,500,2035,"[[0, 3], [2, 4], [1, 0], [1, 4], [0, 1], [2, 1], [3, 3], [3, 2]]",0,7,7,0.3185758000036003,"{""sobrecupo"": 0, ""computadores"": 0, ""software"": 0, ""recursos"": 0, ""choques"": 0, ""bloqueo_curso"": 0, ""bloqueo_sala"": 0, ""equilibrio"": 0}",True,True
11,1,100,0.1,2,500,2026,"[[2, 2], [0, 3], [1, 0], [1, 3], [0, 1], [2, 1], [3, 4], [3, 2]]",0,12,12,0.567153199997847,"{""sobrecupo"": 0, ""computadores"": 0, ""software"": 0, ""recursos"": 0, ""choques"": 0, ""bloqueo_curso"": 0, ""bloqueo_sala"": 0, ""equilibrio"": 0}",True,True
12,2,100,0.1,2,500,2027,"[[2, 1], [0, 1], [1, 3], [1, 4], [0, 0], [2, 3], [3, 0], [3, 2]]",0,40,40,1.670774899997923,"{""sobrecupo"": 0, ""computadores"": 0, ""software"": 0, ""recursos"": 0, ""choques"": 0, ""bloqueo_curso"": 0, ""bloqueo_sala"": 0, ""equilibrio"": 0}",True,True
13,3,100,0.1,2,500,2028,"[[0, 2], [2, 4], [1, 4], [1, 1], [0, 3], [2, 2], [3, 0], [3, 3]]",0,9,9,0.45786170000064885,"{""sobrecupo"": 0, ""computadores"": 0, ""software"": 0, ""recursos"": 0, ""choques"": 0, ""bloqueo_curso"": 0, ""bloqueo_sala"": 0, ""equilibrio"": 0}",True,True
14,4,100,0.1,2,500,2029,"[[0, 3], [2, 2], [1, 1], [1, 4], [0, 0], [2, 1], [3, 2], [3, 4]]",0,45,45,1.6190735999989556,"{""sobrecupo"": 0, ""computadores"": 0, ""software"": 0, ""recursos"": 0, ""choques"": 0, ""bloqueo_curso"": 0, ""bloqueo_sala"": 0, ""equilibrio"": 0}",True,True
15,5,100,0.1,2,500,2030,"[[0, 2], [0, 0], [1, 4], [1, 3], [2, 4], [2, 1], [3, 0], [3, 3]]",0,11,11,0.565291500002786,"{""sobrecupo"": 0, ""computadores"": 0, ""software"": 0, ""recursos"": 0, ""choques"": 0, ""bloqueo_curso"": 0, ""bloqueo_sala"": 0, ""equilibrio"": 0}",True,True
