ejecucion,generacion,penalizacion_generacion,mejor_penalizacion
1,0,703,703
1,1,701,701
1,2,503,503
1,3,203,203
1,4,203,203
1,5,101,101
1,6,101,101
1,7,101,101
1,8,101,101
1,9,101,101
1,10,1,1
1,11,1,1
1,12,1,1
1,13,0,0
2,0,604,604
2,1,401,401
2,2,401,401
2,3,203,203
2,4,102,102
2,5,101,101
2,6,101,101
2,7,101,101
2,8,100,100
2,9,100,100
2,10,100,100
2,11,100,100
2,12,100,100
2,13,100,100
2,14,100,100
2,15,100,100
2,16,100,100
2,17,100,100
2,18,1,1
2,19,1,1
2,20,1,1
2,21,1,1
2,22,1,1
2,23,1,1
2,24,1,1
2,25,1,1
2,26,1,1
2,27,1,1
2,28,1,1
2,29,0,0
3,0,602,602
3,1,504,504
3,2,302,302
3,3,301,301
3,4,301,301
3,5,201,201
3,6,100,100
3,7,101,100
3,8,1,1
3,9,1,1
3,10,1,1
3,11,1,1
3,12,0,0
4,0,804,804
4,1,703,703
4,2,303,303
4,3,303,303
4,4,301,301
4,5,202,202
4,6,104,104
4,7,2,2
4,8,3,2
4,9,101,2
4,10,101,2
4,11,101,2
4,12,2,2
4,13,2,2
4,14,2,2
4,15,2,2
4,16,2,2
4,17,2,2
4,18,1,1
4,19,1,1
4,20,1,1
4,21,1,1
4,22,0,0
5,0,504,504
5,1,402,402
5,2,401,401
5,3,101,101
5,4,101,101
5,5,2,2
5,6,2,2
5,7,2,2
5,8,2,2
5,9,1,1
5,10,1,1
5,11,1,1
5,12,1,1
5,13,0,0
6,0,802,802
6,1,603,603
6,2,702,603
6,3,302,302
6,4,302,302
6,5,302,302
6,6,102,102
6,7,101,101
6,8,101,101
6,9,101,101
6,10,2,2
6,11,1,1
6,12,1,1
6,13,2,1
6,14,1,1
6,15,1,1
6,16,1,1
6,17,1,1
6,18,1,1
6,19,1,1
6,20,0,0
7,0,801,801
7,1,502,502
7,2,503,502
7,3,203,203
7,4,302,203
7,5,204,203
7,6,102,102
7,7,2,2
7,8,101,2
7,9,101,2
7,10,101,2
7,11,101,2
7,12,101,2
7,13,101,2
7,14,101,2
7,15,101,2
7,16,100,2
7,17,101,2
7,18,100,2
7,19,100,2
7,20,100,2
7,21,100,2
7,22,100,2
7,23,0,0
8,0,702,702
8,1,401,401
8,2,401,401
8,3,301,301
8,4,203,203
8,5,202,202
8,6,103,103
8,7,102,102
8,8,101,101
8,9,101,101
8,10,101,101
8,11,0,0
9,0,502,502
9,1,202,202
9,2,202,202
9,3,202,202
9,4,102,102
9,5,101,101
9,6,101,101
9,7,1,1
9,8,1,1
9,9,0,0
10,0,702,702
10,1,802,702
10,2,402,402
10,3,403,402
10,4,201,201
10,5,1,1
10,6,1,1
10,7,0,0
11,0,703,703
11,1,701,701
11,2,503,503
11,3,402,402
11,4,203,203
11,5,202,202
11,6,102,102
11,7,2,2
11,8,2,2
11,9,1,1
11,10,1,1
11,11,1,1
11,12,0,0
12,0,604,604
12,1,401,401
12,2,401,401
12,3,401,401
12,4,201,201
12,5,201,201
12,6,200,200
12,7,101,101
12,8,101,101
12,9,100,100
12,10,100,100
12,11,100,100
12,12,100,100
12,13,100,100
12,14,100,100
12,15,100,100
12,16,100,100
12,17,100,100
12,18,100,100
12,19,100,100
12,20,100,100
12,21,100,100
12,22,100,100
12,23,100,100
12,24,100,100
12,25,100,100
12,26,2,2
12,27,2,2
12,28,2,2
12,29,1,1
12,30,1,1
12,31,1,1
12,32,1,1
12,33,1,1
12,34,1,1
12,35,1,1
12,36,1,1
12,37,1,1
12,38,1,1
12,39,1,1
12,40,0,0
13,0,602,602
13,1,504,504
13,2,301,301
13,3,301,301
13,4,2,2
13,5,2,2
13,6,2,2
13,7,1,1
13,8,1,1
13,9,0,0
14,0,804,804
14,1,703,703
14,2,203,203
14,3,203,203
14,4,203,203
14,5,101,101
14,6,101,101
14,7,101,101
14,8,101,101
14,9,101,101
14,10,1,1
14,11,1,1
14,12,1,1
14,13,1,1
14,14,1,1
14,15,1,1
14,16,1,1
14,17,1,1
14,18,1,1
14,19,1,1
14,20,1,1
14,21,1,1
14,22,1,1
14,23,1,1
14,24,1,1
14,25,1,1
14,26,1,1
14,27,1,1
14,28,1,1
14,29,1,1
14,30,1,1
14,31,1,1
14,32,1,1
14,33,1,1
14,34,1,1
14,35,1,1
14,36,1,1
14,37,1,1
14,38,1,1
14,39,1,1
14,40,1,1
14,41,1,1
14,42,1,1
14,43,1,1
14,44,1,1
14,45,0,0
15,0,504,504
15,1,402,402
15,2,401,401
15,3,203,203
15,4,102,102
15,5,2,2
15,6,2,2
15,7,1,1
15,8,1,1
15,9,1,1
15,10,1,1
15,11,0,0
16,0,802,802
16,1,603,603
16,2,403,403
16,3,402,402
16,4,301,301
16,5,201,201
16,6,201,201
16,7,200,200
16,8,200,200
16,9,200,200
16,10,102,102
16,11,102,102
16,12,102,102
16,13,100,100
16,14,100,100
16,15,100,100
16,16,100,100
16,17,100,100
16,18,100,100
16,19,100,100
16,20,100,100
16,21,100,100
16,22,2,2
16,23,2,2
16,24,2,2
16,25,1,1
16,26,1,1
16,27,1,1
16,28,1,1
16,29,1,1
16,30,0,0
17,0,801,801
17,1,502,502
17,2,403,403
17,3,301,301
17,4,102,102
17,5,101,101
17,6,3,3
17,7,2,2
17,8,1,1
17,9,1,1
17,10,1,1
17,11,1,1
17,12,1,1
17,13,0,0
18,0,702,702
18,1,401,401
18,2,302,302
18,3,202,202
18,4,102,102
18,5,101,101
18,6,101,101
18,7,101,101
18,8,1,1
18,9,1,1
18,10,1,1
18,11,0,0
19,0,502,502
19,1,202,202
19,2,202,202
19,3,201,201
19,4,102,102
19,5,2,2
19,6,1,1
19,7,1,1
19,8,1,1
19,9,1,1
19,10,1,1
19,11,1,1
19,12,0,0
20,0,702,702
20,1,702,702
20,2,404,404
20,3,202,202
20,4,201,201
20,5,102,102
20,6,2,2
20,7,1,1
20,8,1,1
20,9,1,1
20,10,0,0
