ejecucion,repeticion,capacidad,metodo,poblacion,tasa_mutacion,elitismo,max_generaciones,semilla,mejor_individuo,objetos_seleccionados,peso_total,valor_total,fitness,generacion_mejor,generaciones_ejecutadas,tiempo_segundos
1,1,30,penalizacion,100,0.1,2,500,2026,"[1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]","[""Laptop"", ""Cámara"", ""Tablet"", ""Botiquín"", ""Radio"", ""Batería"", ""GPS"", ""Cuaderno""]",30,422,422,24,500,4.683410999998159
2,2,30,penalizacion,100,0.1,2,500,2027,"[1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]","[""Laptop"", ""Cámara"", ""Tablet"", ""Botiquín"", ""Radio"", ""Batería"", ""GPS"", ""Cuaderno""]",30,422,422,15,500,3.9837393000016164
3,3,30,penalizacion,100,0.1,2,500,2028,"[1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]","[""Laptop"", ""Cámara"", ""Tablet"", ""Botiquín"", ""Radio"", ""Batería"", ""GPS"", ""Cuaderno""]",30,422,422,20,500,4.215644200001407
4,4,30,penalizacion,100,0.1,2,500,2029,"[1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]","[""Laptop"", ""Cámara"", ""Tablet"", ""Botiquín"", ""Radio"", ""Batería"", ""GPS"", ""Cuaderno""]",30,422,422,21,500,4.037597399998049
5,5,30,penalizacion,100,0.1,2,500,2030,"[1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]","[""Laptop"", ""Cámara"", ""Tablet"", ""Botiquín"", ""Radio"", ""Batería"", ""GPS"", ""Cuaderno""]",30,422,422,9,500,4.032725699998991
6,6,30,penalizacion,100,0.1,2,500,2031,"[1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]","[""Laptop"", ""Cámara"", ""Tablet"", ""Botiquín"", ""Radio"", ""Batería"", ""GPS"", ""Cuaderno""]",30,422,422,12,500,3.9162053000000014
7,7,30,penalizacion,100,0.1,2,500,2032,"[1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]","[""Laptop"", ""Cámara"", ""Tablet"", ""Botiquín"", ""Radio"", ""Batería"", ""GPS"", ""Cuaderno""]",30,422,422,15,500,4.018527699998231
8,8,30,penalizacion,100,0.1,2,500,2033,"[1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]","[""Laptop"", ""Cámara"", ""Tablet"", ""Botiquín"", ""Radio"", ""Batería"", ""GPS"", ""Cuaderno""]",30,422,422,18,500,4.134444899998925
9,9,30,penalizacion,100,0.1,2,500,2034,"[1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]","[""Laptop"", ""Cámara"", ""Tablet"", ""Botiquín"", ""Radio"", ""Batería"", ""GPS"", ""Cuaderno""]",30,422,422,7,500,4.402278599998681
10,10,30,penalizacion,100,0.1,2,500,2035,"[1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]","[""Laptop"", ""Cámara"", ""Tablet"", ""Botiquín"", ""Radio"", ""Batería"", ""GPS"", ""Cuaderno""]",30,422,422,8,500,4.035183699998015
11,1,30,reparacion,100,0.1,2,500,2026,"[1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]","[""Laptop"", ""Cámara"", ""Tablet"", ""Botiquín"", ""Radio"", ""Batería"", ""GPS"", ""Cuaderno""]",30,422,422,1,500,5.517577499998879
12,2,30,reparacion,100,0.1,2,500,2027,"[1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]","[""Laptop"", ""Cámara"", ""Tablet"", ""Botiquín"", ""Radio"", ""Batería"", ""GPS"", ""Cuaderno""]",30,422,422,4,500,5.450654799999029
13,3,30,reparacion,100,0.1,2,500,2028,"[1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]","[""Laptop"", ""Cámara"", ""Tablet"", ""Botiquín"", ""Radio"", ""Batería"", ""GPS"", ""Cuaderno""]",30,422,422,2,500,5.35101880000002
14,4,30,reparacion,100,0.1,2,500,2029,"[1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]","[""Laptop"", ""Cámara"", ""Tablet"", ""Botiquín"", ""Radio"", ""Batería"", ""GPS"", ""Cuaderno""]",30,422,422,1,500,5.450181000000157
15,5,30,reparacion,100,0.1,2,500,2030,"[1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]","[""Laptop"", ""Cámara"", ""Tablet"", ""Botiquín"", ""Radio"", ""Batería"", ""GPS"", ""Cuaderno""]",30,422,422,2,500,5.567669600000954
