generacion,mejor_valor_valido,mejor_fitness_generacion,individuos_validos
0,525,525,70
1,525,525,77
2,525,525,76
3,525,525,81
4,525,525,78
5,525,525,77
6,540,540,77
7,540,540,74
8,540,540,73
9,552,552,73
10,552,552,75
11,552,552,80
12,552,552,75
13,552,552,75
14,552,552,77
15,552,552,80
16,552,552,83
17,552,552,82
18,552,552,76
19,552,552,68
20,552,552,78
21,552,552,73
22,552,552,74
23,552,552,69
24,552,552,74
25,552,552,68
26,552,552,81
27,552,552,72
28,552,552,74
29,552,552,86
30,552,552,67
31,552,552,82
32,552,552,86
33,552,552,74
34,552,552,79
35,552,552,72
36,552,552,82
37,552,552,74
38,552,552,82
39,552,552,78
40,552,552,72
41,552,552,69
42,552,552,78
43,552,552,78
44,552,552,73
45,552,552,83
46,552,552,75
47,552,552,72
48,552,552,74
49,552,552,80
50,552,552,74
51,552,552,76
52,552,552,75
53,552,552,69
54,552,552,73
55,552,552,73
56,552,552,78
57,552,552,67
58,552,552,70
59,552,552,75
60,552,552,69
61,552,552,77
62,552,552,71
63,552,552,81
64,552,552,76
65,552,552,66
66,552,552,74
67,552,552,81
68,552,552,71
69,552,552,74
70,552,552,71
71,552,552,74
72,552,552,73
73,552,552,80
74,552,552,69
75,552,552,78
76,552,552,75
77,552,552,72
78,552,552,83
79,552,552,79
80,552,552,84
81,552,552,77
82,552,552,68
83,552,552,80
84,552,552,77
85,552,552,73
86,552,552,76
87,552,552,72
88,552,552,68
89,552,552,78
90,552,552,70
91,552,552,80
92,552,552,82
93,552,552,79
94,552,552,82
95,552,552,77
96,552,552,78
97,552,552,71
98,552,552,70
99,552,552,75
100,552,552,84
101,552,552,77
102,552,552,74
103,552,552,77
104,552,552,79
105,552,552,74
106,552,552,74
107,552,552,74
108,552,552,72
109,552,552,83
110,552,552,74
111,552,552,72
112,552,552,82
113,552,552,67
114,552,552,74
115,552,552,79
116,552,552,73
117,552,552,67
118,552,552,77
119,552,552,74
120,552,552,74
121,552,552,76
122,552,552,79
123,552,552,75
124,552,552,69
125,552,552,75
126,552,552,77
127,552,552,81
128,552,552,71
129,552,552,82
130,552,552,81
131,552,552,77
132,552,552,81
133,552,552,77
134,552,552,82
135,552,552,75
136,552,552,75
137,552,552,71
138,552,552,80
139,552,552,80
140,552,552,72
141,552,552,74
142,552,552,66
143,552,552,73
144,552,552,79
145,552,552,74
146,552,552,79
147,552,552,80
148,552,552,74
149,552,552,81
150,552,552,76
151,552,552,73
152,552,552,74
153,552,552,79
154,552,552,75
155,552,552,81
156,552,552,79
157,552,552,77
158,552,552,77
159,552,552,83
160,552,552,72
161,552,552,76
162,552,552,72
163,552,552,81
164,552,552,79
165,552,552,74
166,552,552,68
167,552,552,67
168,552,552,76
169,552,552,77
170,552,552,72
171,552,552,76
172,552,552,80
173,552,552,68
174,552,552,68
175,552,552,78
176,552,552,72
177,552,552,76
178,552,552,73
179,552,552,78
180,552,552,73
181,552,552,78
182,552,552,76
183,552,552,72
184,552,552,75
185,552,552,73
186,552,552,77
187,552,552,80
188,552,552,78
189,552,552,76
190,552,552,71
191,552,552,69
192,552,552,73
193,552,552,81
194,552,552,73
195,552,552,76
196,552,552,70
197,552,552,80
198,552,552,70
199,552,552,73
200,552,552,75
201,552,552,78
202,552,552,78
