ejecucion,repeticion,n,poblacion,tasa_mutacion,elitismo,max_generaciones,semilla,mejor_solucion,conflictos,generacion_mejor,generaciones_ejecutadas,tiempo_segundos,exito
n6_p50_m0.05_r01,1,6,50,0.05,2,500,2026,"[3, 0, 4, 1, 5, 2]",0,2,2,0.021856100000150036,True
n6_p50_m0.05_r02,2,6,50,0.05,2,500,2027,"[2, 5, 3, 1, 0, 4]",1,0,500,1.7031151999981375,False
n6_p50_m0.05_r03,3,6,50,0.05,2,500,2028,"[3, 0, 4, 1, 5, 2]",0,2,2,0.00949160000163829,True
n6_p50_m0.05_r04,4,6,50,0.05,2,500,2029,"[1, 3, 5, 0, 2, 4]",0,0,0,0.0013844999994034879,True
n6_p50_m0.05_r05,5,6,50,0.05,2,500,2030,"[0, 5, 3, 1, 4, 2]",1,0,500,1.653389300001436,False
n6_p50_m0.05_r06,6,6,50,0.05,2,500,2031,"[1, 3, 5, 0, 2, 4]",0,4,4,0.011803000001236796,True
n6_p50_m0.05_r07,7,6,50,0.05,2,500,2032,"[2, 5, 1, 4, 0, 3]",0,2,2,0.014546700000209967,True
n6_p50_m0.05_r08,8,6,50,0.05,2,500,2033,"[5, 2, 4, 1, 3, 0]",1,0,500,1.5822079999998095,False
n6_p50_m0.05_r09,9,6,50,0.05,2,500,2034,"[4, 2, 0, 5, 3, 1]",0,0,0,0.001023100001475541,True
n6_p50_m0.05_r10,10,6,50,0.05,2,500,2035,"[3, 5, 2, 4, 1, 0]",1,0,500,1.717608899998595,False
n6_p50_m0.10_r01,1,6,50,0.1,2,500,2026,"[2, 0, 5, 4, 1, 3]",1,0,500,1.5506246000004467,False
n6_p50_m0.10_r02,2,6,50,0.1,2,500,2027,"[2, 5, 1, 4, 0, 3]",0,3,3,0.011232799999561394,True
n6_p50_m0.10_r03,3,6,50,0.1,2,500,2028,"[3, 0, 4, 1, 5, 2]",0,2,2,0.00983500000074855,True
n6_p50_m0.10_r04,4,6,50,0.1,2,500,2029,"[1, 3, 5, 0, 2, 4]",0,0,0,0.001218400000652764,True
n6_p50_m0.10_r05,5,6,50,0.1,2,500,2030,"[3, 0, 4, 1, 5, 2]",0,2,2,0.01067970000076457,True
n6_p50_m0.10_r06,6,6,50,0.1,2,500,2031,"[3, 5, 0, 1, 4, 2]",1,0,500,1.6278290999980527,False
n6_p50_m0.10_r07,7,6,50,0.1,2,500,2032,"[2, 5, 1, 4, 0, 3]",0,2,2,0.019070900001679547,True
n6_p50_m0.10_r08,8,6,50,0.1,2,500,2033,"[5, 2, 4, 1, 3, 0]",1,0,500,1.5359803999999713,False
n6_p50_m0.10_r09,9,6,50,0.1,2,500,2034,"[4, 2, 0, 5, 3, 1]",0,0,0,0.0013968000021122862,True
n6_p50_m0.10_r10,10,6,50,0.1,2,500,2035,"[3, 0, 4, 1, 5, 2]",0,1,1,0.0036889000002702232,True
n6_p50_m0.20_r01,1,6,50,0.2,2,500,2026,"[2, 0, 5, 4, 1, 3]",1,0,500,1.6580594000006386,False
n6_p50_m0.20_r02,2,6,50,0.2,2,500,2027,"[2, 5, 1, 4, 0, 3]",0,1,1,0.004043900000397116,True
n6_p50_m0.20_r03,3,6,50,0.2,2,500,2028,"[1, 3, 5, 0, 2, 4]",0,3,3,0.013220599998021498,True
n6_p50_m0.20_r04,4,6,50,0.2,2,500,2029,"[1, 3, 5, 0, 2, 4]",0,0,0,0.0008010999990801793,True
n6_p50_m0.20_r05,5,6,50,0.2,2,500,2030,"[4, 2, 0, 5, 3, 1]",0,385,385,1.288232999999309,True
n6_p50_m0.20_r06,6,6,50,0.2,2,500,2031,"[4, 2, 0, 5, 3, 1]",0,5,5,0.015149599999858765,True
n6_p50_m0.20_r07,7,6,50,0.2,2,500,2032,"[2, 5, 1, 4, 0, 3]",0,2,2,0.008265100001153769,True
n6_p50_m0.20_r08,8,6,50,0.2,2,500,2033,"[4, 2, 0, 5, 3, 1]",0,3,3,0.014657899999292567,True
n6_p50_m0.20_r09,9,6,50,0.2,2,500,2034,"[4, 2, 0, 5, 3, 1]",0,0,0,0.0007774000005156267,True
n6_p50_m0.20_r10,10,6,50,0.2,2,500,2035,"[3, 0, 4, 1, 5, 2]",0,1,1,0.004155499998887535,True
n6_p100_m0.05_r01,1,6,100,0.05,2,500,2026,"[1, 3, 5, 0, 2, 4]",0,3,3,0.029246000001876382,True
n6_p100_m0.05_r02,2,6,100,0.05,2,500,2027,"[4, 2, 0, 5, 3, 1]",0,3,3,0.017704200003208825,True
n6_p100_m0.05_r03,3,6,100,0.05,2,500,2028,"[2, 5, 1, 4, 0, 3]",0,0,0,0.0021732999994128477,True
n6_p100_m0.05_r04,4,6,100,0.05,2,500,2029,"[1, 3, 5, 0, 2, 4]",0,0,0,0.0014486000000033528,True
n6_p100_m0.05_r05,5,6,100,0.05,2,500,2030,"[4, 2, 0, 5, 3, 1]",0,1,1,0.010174400002142647,True
n6_p100_m0.05_r06,6,6,100,0.05,2,500,2031,"[3, 0, 4, 1, 5, 2]",0,5,5,0.03854150000188383,True
n6_p100_m0.05_r07,7,6,100,0.05,2,500,2032,"[2, 5, 1, 4, 0, 3]",0,2,2,0.01906550000057905,True
n6_p100_m0.05_r08,8,6,100,0.05,2,500,2033,"[4, 2, 0, 5, 3, 1]",0,1,1,0.007424100000207545,True
n6_p100_m0.05_r09,9,6,100,0.05,2,500,2034,"[4, 2, 0, 5, 3, 1]",0,0,0,0.0015223000009427778,True
n6_p100_m0.05_r10,10,6,100,0.05,2,500,2035,"[3, 0, 4, 1, 5, 2]",0,2,2,0.013078899999527493,True
n6_p100_m0.10_r01,1,6,100,0.1,2,500,2026,"[1, 3, 5, 0, 2, 4]",0,2,2,0.018036000001302455,True
n6_p100_m0.10_r02,2,6,100,0.1,2,500,2027,"[2, 5, 1, 4, 0, 3]",0,2,2,0.013794300000881776,True
n6_p100_m0.10_r03,3,6,100,0.1,2,500,2028,"[2, 5, 1, 4, 0, 3]",0,0,0,0.0020232999995641876,True
n6_p100_m0.10_r04,4,6,100,0.1,2,500,2029,"[1, 3, 5, 0, 2, 4]",0,0,0,0.0014486000000033528,True
n6_p100_m0.10_r05,5,6,100,0.1,2,500,2030,"[1, 3, 5, 0, 2, 4]",0,2,2,0.012309400000958703,True
n6_p100_m0.10_r06,6,6,100,0.1,2,500,2031,"[2, 5, 1, 4, 0, 3]",0,3,3,0.021237000000837725,True
n6_p100_m0.10_r07,7,6,100,0.1,2,500,2032,"[3, 0, 4, 1, 5, 2]",0,3,3,0.018456300000252668,True
n6_p100_m0.10_r08,8,6,100,0.1,2,500,2033,"[2, 5, 1, 4, 0, 3]",0,4,4,0.028684299999440555,True
n6_p100_m0.10_r09,9,6,100,0.1,2,500,2034,"[4, 2, 0, 5, 3, 1]",0,0,0,0.0014389999996637926,True
n6_p100_m0.10_r10,10,6,100,0.1,2,500,2035,"[3, 0, 4, 1, 5, 2]",0,1,1,0.011145100001158426,True
n6_p100_m0.20_r01,1,6,100,0.2,2,500,2026,"[1, 3, 5, 0, 2, 4]",0,3,3,0.02380289999928209,True
n6_p100_m0.20_r02,2,6,100,0.2,2,500,2027,"[1, 3, 5, 0, 2, 4]",0,3,3,0.01962219999768422,True
n6_p100_m0.20_r03,3,6,100,0.2,2,500,2028,"[2, 5, 1, 4, 0, 3]",0,0,0,0.0014871999992465135,True
n6_p100_m0.20_r04,4,6,100,0.2,2,500,2029,"[1, 3, 5, 0, 2, 4]",0,0,0,0.0016843999983393587,True
n6_p100_m0.20_r05,5,6,100,0.2,2,500,2030,"[1, 3, 5, 0, 2, 4]",0,5,5,0.051120000000082655,True
n6_p100_m0.20_r06,6,6,100,0.2,2,500,2031,"[2, 5, 1, 4, 0, 3]",0,8,8,0.0465942000009818,True
n6_p100_m0.20_r07,7,6,100,0.2,2,500,2032,"[2, 5, 1, 4, 0, 3]",0,133,133,0.9462396999988414,True
n6_p100_m0.20_r08,8,6,100,0.2,2,500,2033,"[2, 5, 1, 4, 0, 3]",0,1,1,0.00795999999900232,True
n6_p100_m0.20_r09,9,6,100,0.2,2,500,2034,"[4, 2, 0, 5, 3, 1]",0,0,0,0.0023836000000301283,True
n6_p100_m0.20_r10,10,6,100,0.2,2,500,2035,"[1, 3, 5, 0, 2, 4]",0,1,1,0.007211499996628845,True
n6_p200_m0.05_r01,1,6,200,0.05,2,500,2026,"[3, 0, 4, 1, 5, 2]",0,1,1,0.018164400000387104,True
n6_p200_m0.05_r02,2,6,200,0.05,2,500,2027,"[3, 0, 4, 1, 5, 2]",0,2,2,0.030466500000329688,True
n6_p200_m0.05_r03,3,6,200,0.05,2,500,2028,"[2, 5, 1, 4, 0, 3]",0,0,0,0.003309100000478793,True
n6_p200_m0.05_r04,4,6,200,0.05,2,500,2029,"[1, 3, 5, 0, 2, 4]",0,0,0,0.002888799997890601,True
n6_p200_m0.05_r05,5,6,200,0.05,2,500,2030,"[1, 3, 5, 0, 2, 4]",0,1,1,0.013357599997107172,True
n6_p200_m0.05_r06,6,6,200,0.05,2,500,2031,"[1, 3, 5, 0, 2, 4]",0,1,1,0.01560809999864432,True
