n,poblacion,tasa_mutacion,repeticiones,exitos,porcentaje_exito,conflictos_promedio,generacion_media_exitos,tiempo_medio_segundos
6,50,0.05,10,6,60.0,0.4,1.6666666666666667,0.6716426400002092
6,50,0.1,10,7,70.0,0.3,1.4285714285714286,0.477155660000426
6,50,0.2,10,9,90.0,0.1,44.44444444444444,0.30073634999971544
6,100,0.05,10,10,100.0,0.0,1.7,0.014037880000978475
6,100,0.1,10,10,100.0,0.0,1.7,0.012857330000406364
6,100,0.2,10,10,100.0,0.0,15.4,0.11081056999901193
6,200,0.05,10,10,100.0,0.0,0.8,0.015457069999320084
6,200,0.1,10,10,100.0,0.0,0.7,0.012633829998958391
6,200,0.2,10,10,100.0,0.0,0.8,0.016387070000200767
8,50,0.05,10,8,80.0,0.2,46.5,0.5833224899994093
8,50,0.1,10,10,100.0,0.0,11.8,0.04915596000028018
8,50,0.2,10,10,100.0,0.0,5.0,0.023548169999412494
8,100,0.05,10,10,100.0,0.0,2.0,0.019816809999974795
8,100,0.1,10,10,100.0,0.0,3.4,0.03626853999994637
8,100,0.2,10,10,100.0,0.0,1.9,0.021414349999395198
8,200,0.05,10,10,100.0,0.0,1.2,0.02323486999994202
8,200,0.1,10,10,100.0,0.0,1.0,0.021628789999886065
8,200,0.2,10,10,100.0,0.0,1.5,0.03291674999964016
