ejecucion,repeticion,numero_ciudades,poblacion,tasa_mutacion,tipo_mutacion,elitismo,max_generaciones,semilla,mejor_ruta,mejor_distancia,generacion_mejor,generaciones_ejecutadas,tiempo_segundos
1,1,10,100,0.05,swap,2,500,2026,"[3, 0, 2, 1, 4, 6, 9, 7, 8, 5]",329.31823027761055,8,500,5.936052100001689
2,2,10,100,0.05,swap,2,500,2027,"[7, 9, 6, 4, 1, 2, 0, 3, 5, 8]",329.31823027761055,8,500,5.353485499999806
3,3,10,100,0.05,swap,2,500,2028,"[3, 0, 2, 1, 4, 6, 9, 7, 8, 5]",329.31823027761055,19,500,5.345077300000412
4,4,10,100,0.05,swap,2,500,2029,"[5, 3, 0, 2, 1, 4, 6, 9, 7, 8]",329.31823027761055,8,500,5.617366799997399
5,5,10,100,0.05,swap,2,500,2030,"[5, 8, 7, 9, 6, 4, 1, 2, 0, 3]",329.31823027761055,10,500,5.222965100001602
6,6,10,100,0.05,swap,2,500,2031,"[4, 6, 9, 7, 8, 5, 3, 0, 2, 1]",329.31823027761055,10,500,5.515808600001037
7,7,10,100,0.05,swap,2,500,2032,"[6, 4, 1, 2, 0, 3, 5, 8, 7, 9]",329.31823027761055,8,500,5.356759099999181
8,8,10,100,0.05,swap,2,500,2033,"[2, 0, 3, 5, 8, 7, 9, 6, 4, 1]",329.31823027761055,11,500,5.228090600001451
9,9,10,100,0.05,swap,2,500,2034,"[3, 5, 8, 7, 9, 6, 4, 1, 2, 0]",329.31823027761055,18,500,5.670168799999374
10,10,10,100,0.05,swap,2,500,2035,"[7, 8, 5, 3, 0, 2, 1, 4, 6, 9]",329.31823027761055,8,500,5.801706099999137
11,1,10,100,0.2,swap,2,500,2026,"[5, 3, 0, 2, 1, 4, 6, 9, 7, 8]",329.31823027761055,9,500,5.639318699999421
12,2,10,100,0.2,swap,2,500,2027,"[5, 8, 7, 9, 6, 4, 1, 2, 0, 3]",329.31823027761055,10,500,5.456306100000802
13,3,10,100,0.2,swap,2,500,2028,"[7, 9, 6, 4, 1, 2, 0, 3, 5, 8]",329.31823027761055,9,500,5.5188817999987805
14,4,10,100,0.2,swap,2,500,2029,"[3, 0, 2, 1, 4, 6, 9, 7, 8, 5]",329.31823027761055,9,500,5.549273500000709
15,5,10,100,0.2,swap,2,500,2030,"[9, 6, 4, 1, 2, 0, 3, 5, 8, 7]",329.31823027761055,22,500,5.554079199999251
16,6,10,100,0.2,swap,2,500,2031,"[7, 8, 5, 3, 0, 2, 1, 4, 6, 9]",329.31823027761055,8,500,5.4443509000011545
17,7,10,100,0.2,swap,2,500,2032,"[6, 4, 1, 2, 0, 3, 5, 8, 7, 9]",329.31823027761055,9,500,5.51947360000122
18,8,10,100,0.2,swap,2,500,2033,"[5, 3, 0, 2, 1, 4, 6, 9, 7, 8]",329.31823027761055,10,500,5.623448199999984
19,9,10,100,0.2,swap,2,500,2034,"[8, 5, 3, 0, 2, 1, 4, 6, 9, 7]",329.31823027761055,9,500,5.63621079999939
20,10,10,100,0.2,swap,2,500,2035,"[6, 4, 1, 2, 0, 3, 5, 8, 7, 9]",329.31823027761055,11,500,5.767611600000237
21,1,10,100,0.05,inversion,2,500,2026,"[3, 0, 2, 1, 4, 6, 9, 7, 8, 5]",329.31823027761055,8,500,5.379017599996587
22,2,10,100,0.05,inversion,2,500,2027,"[7, 9, 6, 4, 1, 2, 0, 3, 5, 8]",329.31823027761055,8,500,5.72885640000095
23,3,10,100,0.05,inversion,2,500,2028,"[0, 2, 1, 4, 6, 9, 7, 8, 5, 3]",329.31823027761055,11,500,5.691155999997136
24,4,10,100,0.05,inversion,2,500,2029,"[3, 0, 2, 1, 4, 6, 9, 7, 8, 5]",329.31823027761055,10,500,5.578914300000179
25,5,10,100,0.05,inversion,2,500,2030,"[3, 0, 2, 1, 4, 6, 9, 7, 8, 5]",329.31823027761055,8,500,5.4042749000000185
26,6,10,100,0.05,inversion,2,500,2031,"[3, 0, 2, 1, 4, 6, 9, 7, 8, 5]",329.31823027761055,8,500,5.356085399998847
27,7,10,100,0.05,inversion,2,500,2032,"[6, 4, 1, 2, 0, 3, 5, 8, 7, 9]",329.31823027761055,8,500,5.543334199999663
28,8,10,100,0.05,inversion,2,500,2033,"[7, 9, 6, 4, 1, 2, 0, 3, 5, 8]",329.31823027761055,6,500,5.502643100000569
29,9,10,100,0.05,inversion,2,500,2034,"[3, 5, 8, 7, 9, 6, 4, 1, 2, 0]",329.31823027761055,11,500,5.3818109999992885
30,10,10,100,0.05,inversion,2,500,2035,"[7, 8, 5, 3, 0, 2, 1, 4, 6, 9]",329.31823027761055,8,500,5.513474499999575
31,1,10,100,0.2,inversion,2,500,2026,"[4, 1, 2, 0, 3, 5, 8, 7, 9, 6]",329.31823027761055,10,500,5.371959799998876
32,2,10,100,0.2,inversion,2,500,2027,"[4, 6, 9, 7, 8, 5, 3, 0, 2, 1]",329.31823027761055,8,500,6.653078999999707
33,3,10,100,0.2,inversion,2,500,2028,"[8, 7, 9, 6, 4, 1, 2, 0, 3, 5]",329.31823027761055,7,500,7.604605500000616
34,4,10,100,0.2,inversion,2,500,2029,"[3, 0, 2, 1, 4, 6, 9, 7, 8, 5]",329.31823027761055,14,500,7.236522800001694
35,5,10,100,0.2,inversion,2,500,2030,"[0, 3, 5, 8, 7, 9, 6, 4, 1, 2]",329.31823027761055,10,500,6.874664499999199
36,6,10,100,0.2,inversion,2,500,2031,"[5, 3, 0, 2, 1, 4, 6, 9, 7, 8]",329.31823027761055,4,500,6.526843299998291
37,7,10,100,0.2,inversion,2,500,2032,"[2, 1, 4, 6, 9, 7, 8, 5, 3, 0]",329.31823027761055,6,500,5.794284100000368
38,8,10,100,0.2,inversion,2,500,2033,"[0, 2, 1, 4, 6, 9, 7, 8, 5, 3]",329.31823027761055,9,500,5.846095500000956
39,9,10,100,0.2,inversion,2,500,2034,"[8, 5, 3, 0, 2, 1, 4, 6, 9, 7]",329.31823027761055,12,500,5.427573799999664
40,10,10,100,0.2,inversion,2,500,2035,"[6, 4, 1, 2, 0, 3, 5, 8, 7, 9]",329.31823027761055,6,500,5.8268227000007755
